gamehexid,season,season_type,game_date,game_matchup,home_team,home_team_id,away_team,away_team_id,game_line,over_under,actual_spread,spread_difference,spread_covered,home_ft_pct_L10,total_min,home_win,away_win,home_points,away_points,,3pfgPCT_x_WL,home_fg_made,home_fg_att,home_fg_pct,home_fg3_made,home_fg3_att,home_fg3_pct,home_ft_made,home_ft_att,home_ft_pct,home_off_reb,home_def_reb,home_rebounds,home_assists,home_steals,home_blocks,home_turnovers,home_personal_fouls,home_prev_3,home_prev_5_home,home_prev_10,away_fg_made,away_fg_att,away_fg_pct,away_fg3_made,away_fg3_att,away_fg3_pct,away_ft_made,away_ft_att,d,away_off_reb,away_def_reb,away_rebounds,away_assists,away_steals,away_blocks,away_turnovers,away_personal_fouls,over_under,home_wins,home_wins_at_home,home_last_ten_wins,home_last_five_wins,home_last_three_wins,home_points_per_game,home_points_allowed_per_game,home_ft_pct_on_season,home_fg_pct_on_season,home_rebounds_on_season,home_personal_fouls_on_season,home_h2h_wins,home_last_ten_ATS,home_last_five_ATS,home_last_three_ATS,away_wins,away_wins_at_away,away_last_ten_wins,away_last_five_wins,away_last_three_wins,away_points_per_game,away_points_allowed_per_game,away_ft_pct_on_season,away_fg_pct_on_season,away_rebounds_on_season,away_personal_fouls_on_season,away_h2h_wins,away_last_ten_ATS,away_last_five_ATS,away_last_three_ATS
534143323031352d31302d3330,2015-16,1,10/30/15,LAL @ SAC,SAC,1610612758,LAL,1610612747,-6,209.5,-18,12,1,0.611111111,240,1,0,132,114,,0.529,40,79,0.506,9,17,0.529,22,33,0.667,4,38,42,17,7,3,13,22,2,2,7,36,84,0.429,6,22,0.273,27,34,0.794,8,35,43,20,7,0,9,25,1,26,15,4,2,1,102,100.58,0.649612403,0.432812146,2362,962,0,5,3,2,23,9,3,1,1,99.19607843,101.1372549,0.809027778,0.437776227,2234,1048,1,5,2,1
494e44323031352d31302d3331,2015-16,1,10/31/15,UTA @ IND,IND,1610612754,UTAH,1610612762,-3,189.5,21,24,0,0.708333333,240,0,1,76,97,,0,34,82,0.415,7,23,0.304,27,39,0.692,8,38,46,18,8,4,9,11,2,3,4,39,87,0.448,4,18,0.222,13,14,0.929,9,42,51,21,6,6,14,33,1,10,6,5,3,2,98.21052632,97.94736842,0.652360515,0.419451074,898,358,0,8,5,3,7,2,3,1,1,95.26315789,102.8421053,0.787439614,0.443712969,738,431,1,8,3,2
4c4143323031352d31302d3331,2015-16,1,10/31/15,SAC @ LAC,LAC,1610612746,SAC,1610612758,-10.5,214.5,-5,5.5,0,0.606060606,240,1,0,114,109,,0.276,37,87,0.425,8,29,0.276,10,15,0.667,13,30,43,17,9,6,12,16,3,4,6,41,88,0.466,4,15,0.267,7,13,0.538,16,37,53,23,4,4,17,15,0,12,8,5,4,2,98.31818182,97.77272727,0.652802893,0.417956656,1046,410,0,9,5,3,12,5,6,3,1,95.95454545,100.7272727,0.836917563,0.422332781,898,481,0,3,0,0
4d454d323031352d31302d3331,2015-16,1,10/31/15,BKN @ MEM,MEM,1610612763,BKN,1610612751,-12.5,190,-10,2.5,0,0.727272727,240,1,0,101,91,,0.32,39,84,0.464,8,25,0.32,28,39,0.718,9,39,48,23,3,4,13,25,1,3,6,39,89,0.438,12,34,0.353,28,34,0.824,8,38,46,25,10,3,12,26,1,34,19,6,3,1,101.7164179,101.238806,0.652941176,0.439057934,3086,1297,1,7,3,2,38,17,7,4,2,102.0597015,98.62686567,0.781954887,0.458555674,2803,1274,1,4,2,2
4e4f323031352d31302d3331,2015-16,1,10/31/15,GSW @ NOP,NO,1610612740,GS,1610612744,5,213,14,9,0,0.869565217,240,0,1,120,134,,0,30,82,0.366,5,23,0.217,27,36,0.75,12,37,49,19,3,9,16,20,1,1,1,43,93,0.462,9,26,0.346,17,25,0.68,11,36,47,26,9,4,8,24,0,0,0,0,0,0,85,105,0.653846154,0.344827586,44,19,0,0,0,0,1,0,1,1,1,111,95,0.909090909,0.427083333,56,29,0,1,1,1
575348323031352d31302d3331,2015-16,1,10/31/15,NYK @ WAS,WSH,1610612764,NY,1610612752,-7.5,204.5,7,14.5,0,0.848484848,240,0,1,110,117,,0,42,95,0.442,5,26,0.192,12,20,0.6,20,30,50,18,8,2,11,16,1,3,7,44,84,0.524,9,21,0.429,14,20,0.7,6,32,38,28,6,6,10,16,1,22,14,5,3,1,101.45,99.225,0.653961886,0.430708439,1897,770,2,7,3,2,23,7,6,1,1,101.8684211,100.5263158,0.785960875,0.433543354,1862,715,0,6,3,2
424f53323031352d31312d3031,2015-16,1,11/1/15,SAS @ BOS,BOS,1610612738,SA,1610612759,5.5,202,8,2.5,0,0.852941176,240,0,1,87,95,,0,45,90,0.5,13,29,0.448,15,19,0.789,10,36,46,26,11,6,14,18,3,5,7,41,82,0.5,3,16,0.188,11,18,0.611,5,28,33,17,7,2,16,16,1,13,8,6,3,1,98.41666667,97.45833333,0.654109589,0.420207743,1137,447,0,8,3,1,13,6,7,2,1,103.8571429,99,0.757009346,0.4401566,923,411,1,6,3,2
434841323031352d31312d3031,2015-16,1,11/1/15,ATL @ CHA,CHA,1610612766,ATL,1610612737,2,195,2,0,0,0.933333333,240,0,1,92,94,,0,44,92,0.478,12,26,0.462,15,18,0.833,16,33,49,25,7,6,15,22,0,2,5,40,79,0.506,4,15,0.267,24,29,0.828,7,28,35,21,8,4,11,20,1,34,19,5,2,1,101.8970588,101.4852941,0.65439908,0.439417048,3134,1322,0,6,2,1,26,12,2,1,1,106.7313433,109.5223881,0.726747545,0.463068673,2979,1385,1,2,0,0
434849323031352d31312d3031,2015-16,1,11/1/15,ORL @ CHI,CHI,1610612741,ORL,1610612753,-8,199,-5,3,0,0.695652174,240,1,0,92,87,,0.24,35,91,0.385,6,25,0.24,17,25,0.68,18,33,51,16,11,2,15,24,2,4,8,39,84,0.464,4,23,0.174,17,23,0.739,11,36,47,20,6,1,14,24,0,17,10,6,3,2,101.4,99.96666667,0.654545455,0.427231808,1426,574,1,5,2,1,15,8,5,2,2,103.2857143,99.10714286,0.778894472,0.436187399,1236,616,0,2,2,1
4c414c323031352d31312d3031,2015-16,1,11/1/15,DAL @ LAL,LAL,1610612747,DAL,1610612742,4.5,213,10,5.5,0,0.914285714,240,0,1,93,103,,0,43,88,0.489,14,30,0.467,15,21,0.714,18,36,54,25,6,6,10,18,3,4,9,36,81,0.444,6,20,0.3,11,11,1,5,25,30,17,6,7,8,16,1,18,11,5,1,1,100.8235294,99.70588235,0.654692932,0.424793388,1616,646,0,6,4,3,19,7,6,2,1,100.0882353,98.70588235,0.768621236,0.453830369,1494,708,0,6,3,2
